Report,SSRS_Visual_Status_indicator_StateName,SSRS_Visual_Status_indicator_Red_StartValue,SSRS_Visual_Status_indicator_Red_EndValue,SSRS_Visual_Status_indicator_Green_StartValue,SSRS_Visual_Status_indicator_Green_EndValue,ReportStatus,ReportNote,MinOfLastUpdated,Refresh_Date
All Brands - Current Inventory by Brand(New),Green,0,0,1,1,Green,Report is fine.,11/29/2019 2:24:41 PM,4/14/2020 6:15:39 PM

Brand,SKU,Stock,InventoryDate,IsDropShip
BAL,4002227,266,2020-04-14 16:00:00,No
BAL,4002326,266,2020-04-14 16:00:00,No
BAL,4002433,265,2020-04-14 16:00:00,No
BAL,4003123,264,2020-04-14 16:00:00,No
BAL,4002930,260,2020-04-14 16:00:00,No
BAL,P-FLIPWHEELL,257,2020-04-14 16:00:00,No
BAL,4003104,255,2020-04-14 16:00:00,No
BAL,4001518,254,2020-04-14 16:00:00,No
BAL,4002317,253,2020-04-14 16:00:00,No
BAL,4002381,253,2020-04-14 16:00:00,No
BAL,4002845,253,2020-04-14 16:00:00,No
BAL,4002301,251,2020-04-14 16:00:00,No
BAL,4002863,251,2020-04-14 16:00:00,No
BAL,4002949,250,2020-04-14 16:00:00,No
BAL,4002906,250,2020-04-14 16:00:00,No
BAL,4001932,250,2020-04-14 16:00:00,No
BAL,4002374,250,2020-04-14 16:00:00,No
BAL,2808272,245,2020-04-14 16:00:00,No
BAL,5552872,244,2020-04-14 16:00:00,No
BAL,4002321,243,2020-04-14 16:00:00,No
BAL,5024183,243,2020-04-14 16:00:00,No
BAL,4002435,238,2020-04-14 16:00:00,No
BAL,4002715,238,2020-04-14 16:00:00,No
BAL,2801713,236,2020-04-14 16:00:00,No
BAL,2808878,234,2020-04-14 16:00:00,No
BAL,4002311,233,2020-04-14 16:00:00,No
BAL,4001384,233,2020-04-14 16:00:00,No
BAL,4002836,232,2020-04-14 16:00:00,No
BAL,4002822,231,2020-04-14 16:00:00,No
BAL,4003116,230,2020-04-14 16:00:00,No
BAL,4003114,230,2020-04-14 16:00:00,No
BAL,2807681,229,2020-04-14 16:00:00,No
BAL,4002929,229,2020-04-14 16:00:00,No
BAL,4002851,229,2020-04-14 16:00:00,No
BAL,2801404,228,2020-04-14 16:00:00,No
BAL,4003127,227,2020-04-14 16:00:00,No
BAL,2807880,226,2020-04-14 16:00:00,No
BAL,4002710,226,2020-04-14 16:00:00,No
BAL,4002959,226,2020-04-14 16:00:00,No
BAL,4002985,226,2020-04-14 16:00:00,No
BAL,4002044,225,2020-04-14 16:00:00,No
BAL,2801469,225,2020-04-14 16:00:00,No
BAL,4002730,225,2020-04-14 16:00:00,No
BAL,4002434,224,2020-04-14 16:00:00,No
BAL,2806294,223,2020-04-14 16:00:00,No
BAL,4002382,223,2020-04-14 16:00:00,No
BAL,5024194,222,2020-04-14 16:00:00,No
BAL,2807867,221,2020-04-14 16:00:00,No
BAL,4000008,219,2020-04-14 16:00:00,No
BAL,4002833,219,2020-04-14 16:00:00,No
BAL,2806296,218,2020-04-14 16:00:00,No
BAL,4002834,216,2020-04-14 16:00:00,No
BAL,4002895,216,2020-04-14 16:00:00,No
BAL,4002013,214,2020-04-14 16:00:00,No
BAL,2808192,214,2020-04-14 16:00:00,No
BAL,4002961,214,2020-04-14 16:00:00,No
BAL,4002872,213,2020-04-14 16:00:00,No
BAL,4003106,212,2020-04-14 16:00:00,No
BAL,4002840,212,2020-04-14 16:00:00,No
BAL,4002877,212,2020-04-14 16:00:00,No
BAL,4000008_W,210,2020-04-14 16:00:00,No
BAL,5024204,210,2020-04-14 16:00:00,No
BAL,5024196,208,2020-04-14 16:00:00,No
BAL,2808240,208,2020-04-14 16:00:00,No
